variable,type,description,used_in_script
response_id,character,Respondent identifier from the South Korea survey export.,retained for transparency/provenance
random_text_flag,character,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
gender,character,Analysis sample variable retained for list-experiment replication.,female covariate
region_raw,character,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
age,numeric,Analysis sample variable retained for list-experiment replication.,age covariate
education_raw,character,Analysis sample variable retained for list-experiment replication.,education covariate
residency_status_raw,character,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
ideology_scale_raw,character,Raw ideology scale response.,political orientation covariate
party_id_raw,character,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
religion_raw,character,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
direct_pride_korea,character,Direct question on pride in being South Korean.,direct South Korean pride outcome
direct_pride_korea_initial,character,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
list_pride_count,numeric,List count for pride in being South Korean.,South Korean pride list outcome
list_pride_treatment_arm,character,Treatment assignment for the South Korean pride list experiment.,South Korean pride list treatment variable
direct_nksk_maintain,character,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
list_nksk_count,numeric,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
list_nksk_treatment_arm,character,Analysis sample variable retained for list-experiment replication.,retained for transparency/provenance
national_identity_strength,numeric,0-10 South Korean identity strength scale.,Figure 1 strong/weak subgroup construction
