response_id,birth_year_roc,gender,city_raw,ideology_raw,party_id_raw,residency_status_raw,cross_strait_preference_raw,identity_category_raw,direct_support_unification,direct_pride_taiwan,direct_pride_china,education_years,employment_status_raw,work_type_raw,current_status_raw,home_language_raw,father_origin_raw,marital_status_raw,social_media_use_raw,follows_political_news_raw,main_news_source_raw,vote_2024_raw,social_class_raw,list_pride_treatment_indicator,list_independence_treatment_indicator,list_pride_treatment_arm,list_independence_treatment_arm,list_pride_taiwan_treatment_count,list_pride_china_treatment_count,list_pride_control_count,list_pride_taiwan_count,list_independence_treatment_count,list_independence_control_count
R_4M5wfXMu8cbTC1r,89,男性,高雄市,接近自由主義,台灣民眾黨,本地出生公民,維持現狀，看情形再決定獨立或統一,,不知道,同意,不知道,15,有工作,受雇替別人工作,,國語,台灣閩南人,單身,一天數個小時,有,社交媒體,中間層,沒有投票/投廢票,2,0,china_pride_treatment,control,,2,,,,2
R_4E0It8e4KcHTVJa,82,男性,臺南市,中立,國民黨,本地出生公民,維持現狀，以後走向統一,,不同意,不知道,不知道,18,有工作,受雇替別人工作,,國語,台灣閩南人,單身,一天數個小時,有,社交媒體,中間層,沒有投票/投廢票,0,0,control,control,,,3,3,,1
R_4fp1o5dcr99nEh1,90,男性,新北市,自由主義,國民黨,本地出生公民,維持現狀，看情形再決定獨立或統一,,同意,同意,同意,21,有工作,受雇替別人工作,,國語,台灣閩南人,單身,一天數個小時,有,電視,中間層,侯友宜/趙少康,2,1,china_pride_treatment,independence_treatment,,2,,,3,
R_438hvpzffIpnOlb,67,男性,苗栗縣,中立,不知道,本地出生公民,儘快統一,,不同意,不知道,同意,12,有工作,受雇替別人工作,,國語,台灣客家人,單身,一天數個小時,有,社交媒體,中下層,沒有投票/投廢票,0,1,control,independence_treatment,,,2,2,1,
R_4zo9DjGKIQRLyC2,75,男性,新北市,保守主義,時代力量,本地出生公民,永遠維持現狀,,同意,同意,同意,19,有工作,自行創業 (自雇),,國語,台灣的外省人,單身,始終保持連線/上網狀態,有,社交媒體,中間層,柯文哲/吳欣盈,2,0,china_pride_treatment,control,,3,,,,2
R_4D9wczRIfo2s3eh,76,男性,新北市,保守主義,新黨,本地出生公民,維持現狀，以後走向統一,,同意,同意,不同意,15,有工作,在家族企業工作,,國語,台灣閩南人,單身,每天半小時到一個小時,有,社交媒體,中上層,賴清德/蕭美琴,2,1,china_pride_treatment,independence_treatment,,4,,,2,
R_4f9IgN3GWskhtka,77,女性,桃園市,中立,民進黨,本地出生公民,維持現狀，以後走向統一,,同意,同意,不同意,16,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,始終保持連線/上網狀態,有,社交媒體,中下層,柯文哲/吳欣盈,2,0,china_pride_treatment,control,,2,,,,2
R_4qyfpf8KYcHcB19,61,男性,新北市,接近保守主義,民進黨,本地出生公民,儘快宣布獨立,,同意,同意,不同意,18,有工作,受雇替別人工作,,台語,台灣閩南人,單身,一天數個小時,有,報刊雜誌(紙本或網路),中間層,賴清德/蕭美琴,1,1,taiwan_pride_treatment,independence_treatment,1,,,1,1,
R_4KG416IYE8EI0CJ,55,男性,臺北市,中立,不知道,本地出生公民,永遠維持現狀,,不知道,同意,不知道,16,有工作,自行創業 (自雇),,國語,台灣閩南人,已婚,一天數個小時,有,電視,中間層,沒有投票/投廢票,0,0,control,control,,,1,1,,1
R_4IP1DaEvWwx82I1,58,女性,臺北市,中立,不知道,本地出生公民,永遠維持現狀,,不知道,不知道,不知道,14,有工作,受雇於公家單位,,國語,大陸各省市人,單身,一天數個小時,有,電視,中上層,賴清德/蕭美琴,0,1,control,independence_treatment,,,3,3,2,
